crop,class_name,file_name,relative_path,absolute_path,width,height,channels,format,size_bytes,sha256,split
cotton,Bacterial Blight,bacterial_(78).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(78).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(78).png,700,700,3,JPEG,39123,11354ad83dddfecfe59d5d4d38e9f505a9c18b3833c6b5e4088ac1f86b037d88,train
cotton,Alternaria Leaf Spot,alternaria_(40).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Alternaria Leaf Spot\alternaria_(40).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Alternaria Leaf Spot\alternaria_(40).png,700,700,3,JPEG,40220,b60f822bcff49283586e4e871bd0a4dc392aa1a83cd68592e799634b2cf886d0,train
cotton,Alternaria Leaf Spot,alternaria_(102).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Alternaria Leaf Spot\alternaria_(102).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Alternaria Leaf Spot\alternaria_(102).png,700,700,3,JPEG,32369,ec05edd5c2353e7c01b3d4d52daaf40135ad9e0435ffc1dd02e26c3b65e77516,train
cotton,Healthy Leaf,healthy_(311).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Healthy Leaf\healthy_(311).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Healthy Leaf\healthy_(311).png,700,700,3,JPEG,41291,519998410224382d7f0b85066df2cfe7bbaa4ea98965d0d452fc9233d0987d1e,train
cotton,Healthy Leaf,healthy_(244).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Healthy Leaf\healthy_(244).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Healthy Leaf\healthy_(244).png,700,700,3,JPEG,39055,3860d575b9711e60335e83e95c0c71bfe079e3c47a6ea22273a7fc0841fc0791,train
cotton,Verticillium Wilt,verticillium_(270).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Verticillium Wilt\verticillium_(270).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Verticillium Wilt\verticillium_(270).png,700,700,3,JPEG,39846,ce726ca8d4de06bb8c4ec41fc7d46e746abbbdb8e6ca5cbf9938b413dcfcb36b,train
cotton,Fusarium Wilt,fusarium_(315).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Fusarium Wilt\fusarium_(315).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Fusarium Wilt\fusarium_(315).png,700,700,3,JPEG,36948,3ea646f782c5d4b766a5afa41410ae347ff2de7982af99eed5c13547864af5b4,train
cotton,Bacterial Blight,bacterial_(99).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(99).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(99).png,700,700,3,JPEG,38777,1851172a422cfc5cfed9542bc3a510411b85bf6205a8b6beb473765e9a21c463,train
cotton,Fusarium Wilt,fusarium_(189).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Fusarium Wilt\fusarium_(189).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Fusarium Wilt\fusarium_(189).png,700,700,3,JPEG,57593,2ccce91518a9028fbfa78470204c2e89cec72c132298d986475795b4add0cc52,train
cotton,Alternaria Leaf Spot,alternaria_(95).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Alternaria Leaf Spot\alternaria_(95).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Alternaria Leaf Spot\alternaria_(95).png,700,700,3,JPEG,36663,3679c885aa9b812694b4b9e860edf417191a358f4c4f42f8f50de2611c81fb93,train
cotton,Healthy Leaf,healthy_(69).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Healthy Leaf\healthy_(69).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Healthy Leaf\healthy_(69).png,700,700,3,JPEG,37800,226fbfb70a116b06e0f58f9fa279b72dc56240301a9dcb9d7d8723d13636a50c,train
cotton,Bacterial Blight,bacterial_(143).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(143).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(143).png,700,700,3,JPEG,50208,971824171bbbd8e181e288f6fd79177b24579398b3145f908f4a1831003e5af9,train
cotton,Bacterial Blight,bacterial_(5).png,data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(5).png,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\cotton\cotton_original\Cotton_Original_Dataset\Bacterial Blight\bacterial_(5).png,700,700,3,JPEG,55996,7f49f70084afb371417b08599f1b3be3dc2c904fe4fa77ba415abf8aafc9055a,train
